Practice_Hours_Per_Week,Headshot_Accuracy_Percent
16.2,22.8
38.1,43.0
29.8,37.2
24.7,38.5
7.9,22.5
7.9,15.2
4.2,19.5
34.9,41.6
24.8,32.5
28.9,40.3
2.8,20.8
38.9,49.3
33.6,39.0
10.1,22.0
8.9,23.3
9.0,25.6
13.6,24.2
21.9,31.9
18.4,25.9
13.1,21.3
25.3,38.0
7.3,25.6
13.1,25.2
15.9,31.2
19.3,31.7
31.8,38.2
9.6,23.9
21.5,37.6
24.5,34.5
3.8,23.5
25.1,25.9
8.5,24.7
4.5,18.9
38.1,44.4
38.7,46.3
32.7,34.2
13.6,25.1
5.7,20.8
28.0,42.6
18.7,28.2
6.6,17.5
20.8,29.9
3.3,20.8
36.6,45.4
11.8,22.6
27.2,38.5
13.8,26.4
21.8,35.8
22.8,30.8
9.0,21.1
38.8,44.7
31.5,35.0
37.7,46.2
36.0,44.7
24.7,34.8
37.0,43.8
5.4,14.3
9.4,21.1
3.7,16.8
14.4,23.7
